Group,Concentration
Control,450.386
Control,638.496
Control,802.053
Control,745.192
Control,1248.012
Control,1438.938
Control,1146.731
Control,1158.878
DSS,40.25
DSS,79.181
DSS,4.537
DSS,54.885
DSS,8.416
DSS,27.845
DSS,4.171
P.goldsteinii,12.88
P.goldsteinii,50.019
P.goldsteinii,60.776
P.goldsteinii,61.866
P.goldsteinii,88.479
P.goldsteinii,319.399
P.goldsteinii,708.635
P.goldsteinii,24.552
P.goldsteinii,551.119
