Group,Concentration
Control,0.052552
Control,0.0624576
Control,0.0536656
Control,0.0248864
Control,0.0358464
Control,0.0491936
Control,0.0603584
Control,0.0399312
DSS,0.0662944
DSS,0.1139328
DSS,0.070392
DSS,0.040224
DSS,0.0642288
DSS,0.050144
DSS,0.0651168
P.goldsteinii,0.0269736
P.goldsteinii,0.0312112
P.goldsteinii,0.0193232
P.goldsteinii,0.011608
P.goldsteinii,0.03132768
P.goldsteinii,0.0632704
P.goldsteinii,0.029792
P.goldsteinii,0.0671008
P.goldsteinii,0.030648
