"","FD_C1","FD_C2","FD_C3","FD_C4","FD_C5","FD_C7","FD_C8","FD_D1","FD_D2","FD_D3","FD_D4","FD_D5","FD_D6","FD_D7","FD_D8","FD_PG2","FD_PG3","FD_PG5","FD_PG6","FD_PG7","FD_PG8"
"Deoxycholic acid",417.2386171,676.0642816,752.9559826,846.0037713,1107.271622,989.9212352,1174.631978,420.754155,101.9747044,9.368305453,380.3823697,87.31910488,8.669607436,33.57916671,6.740369671,75.97202002,75.86831759,74.76876578,656.8863912,81.54216329,622.7069039
"7-Hydroxy-3-oxocholanoic acid",3.743041818,8.123536349,9.348424029,8.062381759,8.514979262,13.29809015,8.422038999,1.791198382,0.703844039,0.094951538,1.629920629,0.457344988,0.105841299,0.4774747,0.127637312,0.344825506,0.539928712,0.26907863,4.153015177,0.344907994,6.614274058
"Hexadecadienoylcarnitine",0.849549234,0.780285273,1.06879956,1.334374371,1.710555914,0.294120687,1.215624686,2.927854739,1.391716144,3.418243156,2.470064693,1.398225347,1.394548538,1.777650489,1.986400799,1.542384384,1.631560939,2.890941306,0.389127038,3.369180096,0.387312389
"Cholic acid",170.5817387,169.0905811,141.3976064,177.889799,559.7610929,377.6421087,476.1588861,921.0141953,1096.614398,754.5437087,499.1875903,908.6163723,515.0236664,763.7781061,1135.137232,466.6679683,498.2749428,1532.443319,207.247541,937.1147891,166.9613679
"N-Arachidonoyl taurine",1.213042403,1.536806225,1.192518645,1.472261817,0.43705613,0.421374485,0.407065562,4.979769436,2.779129332,1.904027452,2.182813624,2.617450495,2.868337562,3.464854831,2.921820508,2.585714497,2.350679622,4.134833974,1.939571881,3.425041554,1.989742094
"Methylheptadecanoylcarnitine",0.35523306,0.259058944,0.249056299,0.925137589,0.226039004,0.54494279,0.666062821,1.643775791,0.756821253,2.601670287,3.295397586,2.987596151,1.691100636,4.114921327,2.078414768,0.207611145,0.248774114,1.608233217,0.346279857,2.60231909,0.313392333
"Chenodeoxycholic acid 3-sulfate",214.213805,242.2710939,159.8869351,52.67263137,178.8180408,265.54361,339.0490016,8.393017236,5.73073407,2.706603056,8.588779983,11.82801493,5.798408718,8.818666525,5.407210872,90.28982604,117.1168707,83.38486666,131.497474,11.2337356,152.216742
"Taurochenodeoxycholic acid",3.447137638,2.299773345,2.52940443,1.005181796,34.02046542,2.899675548,3.630245503,8.417766236,29.77193112,43.36481191,59.02133566,77.42138919,25.86318927,34.91974474,136.3643375,3.516552046,3.069937866,20.49139932,2.865071224,33.90127979,2.506299243
"Taurocholic acid",34.89664031,26.25608181,25.7809533,13.67280219,1226.473337,34.73204522,55.09123662,351.4222694,1083.030192,1901.664023,2419.881041,2311.798624,1233.013209,1252.449574,3877.664877,111.8868941,96.97120881,1650.573709,172.9337525,1526.275171,143.4877241
"Taurochenodeoxycholate-3-sulfate",13.54881425,4.472226864,30.75874325,1.556264083,3.373466656,0.206014486,1.249421597,65.29007665,47.07952643,35.02414188,75.46846841,105.9634466,60.70175187,76.85545384,79.32134618,24.47303559,9.346536924,23.61803025,25.08042962,38.74306152,27.55762166
