Group,Concentration
Control,3.367
Control,3.164
Control,3.796
Control,2.33
Control,3.194
Control,3.972
Control,1.085
Control,1.515
DSS,1.883
DSS,1.701
DSS,0.746
DSS,0.456
DSS,0.238
DSS,0.228
DSS,0.116
DSS,0.203
DSS,0.183
P.goldsteinii,0.136
P.goldsteinii,1.296
P.goldsteinii,0.537
P.goldsteinii,0.694
P.goldsteinii,0.132
P.goldsteinii,0.197
P.goldsteinii,0.301
P.goldsteinii,0.464
P.goldsteinii,0.745
