Group,Concentration
Control,4.077 
Control,4.766 
Control,15.316 
Control,0.430 
Control,6.680 
Control,34.748 
Control,11.978 
Control,6.758 
DSS,12.994 
DSS,40.547 
DSS,44.969 
DSS,16.648 
DSS,5.250 
DSS,18.204 
DSS,9.196 
DSS,18.582 
DSS,3.633 
P.goldsteinii,2.019 
P.goldsteinii,10.491 
P.goldsteinii,4.000 
P.goldsteinii,32.907 
P.goldsteinii,9.963 
P.goldsteinii,28.425 
P.goldsteinii,6.242 
P.goldsteinii,9.700 
P.goldsteinii,10.845 
