Group,Concentration
Control,62.496
Control,55.644
Control,91.1
Control,38.993
Control,55.188
Control,111.071
Control,32.662
Control,26.067
DSS,24.251
DSS,69.649
DSS,36.896
DSS,19.849
DSS,2.068
DSS,24.414
DSS,1.541
DSS,0.661
DSS,2.122
P.goldsteinii,0.462
P.goldsteinii,91.417
P.goldsteinii,2.11
P.goldsteinii,53.164
P.goldsteinii,4.267
P.goldsteinii,29.395
P.goldsteinii,1.551
P.goldsteinii,0.813
P.goldsteinii,7.27
