	FD_C1	FD_C2	FD_C3	FD_C4	FD_C5	FD_C7	FD_C8	FD_D1	FD_D2	FD_D3	FD_D4	FD_D5	FD_D6	FD_D7	FD_D8	FD_PG2	FD_PG3	FD_PG5	FD_PG6	FD_PG7	FD_PG8
FD_C1	0	0.0348101344208864	0.0422070919744663	0.0856260058925205	0.0942814627836792	0.0876904440002348	0.0777474450900397	0.260020769561902	0.303144116024352	0.449283171461037	0.301439063572558	0.351507231435319	0.452284062063755	0.409699342137635	0.479728633363767	0.225021272495749	0.231394100587679	0.312601351673043	0.19677477968118	0.364004105242726	0.14342393436467
FD_C2	0.0348101344208864	0	0.0385543135387146	0.0615217047966727	0.0781015242904761	0.0496501516199429	0.0470996282462927	0.292395203800792	0.353203890265912	0.49551323621045	0.336139099333774	0.395409511796442	0.499161954116559	0.452481576167177	0.525448748645084	0.248355918761435	0.254730046527701	0.347260332301522	0.207592750701592	0.399600121955183	0.15605465947263
FD_C3	0.0422070919744663	0.0385543135387146	0	0.0950950283439388	0.0879401519233679	0.0973335216570017	0.0854079873069903	0.247334793393516	0.313555973470882	0.451129195384086	0.289612995794562	0.346081828009718	0.450630579454766	0.40535846745825	0.476670089219368	0.22797105214409	0.231757137010965	0.314643126373147	0.169737985374294	0.361147775736276	0.116837156830779
FD_C4	0.0856260058925205	0.0615217047966727	0.0950950283439388	0	0.106453730342982	0.0872573398927731	0.0783049145159572	0.27399394530673	0.342944412374462	0.463337483884084	0.312082313359463	0.37455739196778	0.470573902641675	0.413381846698109	0.495393255382758	0.26722183890816	0.260941438591004	0.33089709737384	0.224686458206612	0.368224147334875	0.187329648573761
FD_C5	0.0942814627836792	0.0781015242904761	0.0879401519233679	0.106453730342982	0	0.076431610347903	0.0573358749270821	0.293677894902004	0.341535056542206	0.476316215693302	0.319553512362166	0.373701531839975	0.488112428883469	0.447159076156406	0.500909850173047	0.279945441687624	0.286680546049861	0.330150454724816	0.199212029224669	0.380920053035891	0.171275739355865
FD_C7	0.0876904440002348	0.0496501516199429	0.0973335216570017	0.0872573398927731	0.076431610347903	0	0.0267428868405946	0.370757370456553	0.431412684559427	0.577419733566722	0.414556911153091	0.473522300841927	0.582433533454891	0.535408555330406	0.608095639418296	0.326484410848298	0.333117602248622	0.415255873228601	0.26695194572547	0.471306400268229	0.224489810448319
FD_C8	0.0777474450900397	0.0470996282462927	0.0854079873069903	0.0783049145159572	0.0573358749270821	0.0267428868405946	0	0.332629896879523	0.393845015512392	0.536260746079747	0.379237177483493	0.437130674446333	0.544922097150997	0.496989830290778	0.566725703668346	0.298569296460203	0.303934133273824	0.38180276001452	0.240981397619853	0.437255028273172	0.197807837864725
FD_D1	0.260020769561902	0.292395203800792	0.247334793393516	0.27399394530673	0.293677894902004	0.370757370456553	0.332629896879523	0	0.0538780979581411	0.128242557521268	0.0474538551262709	0.0704032490672108	0.117175811245186	0.0895161650520334	0.131452168423854	0.0925339039475385	0.085416605405041	0.0850702063709392	0.102768705521271	0.0853335206283397	0.139131061872578
FD_D2	0.303144116024352	0.353203890265912	0.313555973470882	0.342944412374462	0.341535056542206	0.431412684559427	0.393845015512392	0.0538780979581411	0	0.0891573998658459	0.0726091658645243	0.0799150971310882	0.0924857976997717	0.0903704302034941	0.102534305287013	0.101749660816764	0.104896042838636	0.0796799985604997	0.157390820490383	0.0830584393117527	0.191225959619308
FD_D3	0.449283171461037	0.49551323621045	0.451129195384086	0.463337483884084	0.476316215693302	0.577419733566722	0.536260746079747	0.128242557521268	0.0891573998658459	0	0.116383642779706	0.103868809261475	0.0429302383316513	0.0776703149488607	0.0517293864788623	0.176706792221704	0.168875056601791	0.101574516099034	0.264572137233731	0.077162775867704	0.3124780125808
