Group,Concentration
Control,2.406 
Control,2.145 
Control,2.537 
Control,2.501 
Control,2.322 
Control,5.390 
Control,2.131 
Control,2.041 
DSS,1.790 
DSS,4.464 
DSS,2.554 
DSS,1.697 
DSS,1.092 
DSS,1.686 
DSS,1.532 
DSS,1.040 
DSS,1.115 
P.goldsteinii,0.871 
P.goldsteinii,2.048 
P.goldsteinii,1.020 
P.goldsteinii,4.199 
P.goldsteinii,1.421 
P.goldsteinii,2.436 
P.goldsteinii,1.766 
P.goldsteinii,2.720 
P.goldsteinii,1.996 
