Group,Concentration
Control,14.891 
Control,18.265 
Control,24.268 
Control,25.681 
Control,27.552 
Control,33.765 
Control,35.361 
Control,33.631 
DSS,8.258 
DSS,11.602 
DSS,17.552 
DSS,9.539 
DSS,2.884 
DSS,7.626 
DSS,5.417 
DSS,8.478 
DSS,1.221 
P.goldsteinii,6.918 
P.goldsteinii,5.921 
P.goldsteinii,8.873 
P.goldsteinii,10.802 
P.goldsteinii,3.423 
P.goldsteinii,1.575 
P.goldsteinii,2.757 
P.goldsteinii,2.672 
P.goldsteinii,2.257 
