Group,Concentration
Control,59.129
Control,52.48
Control,87.304
Control,36.663
Control,51.994
Control,107.099
Control,31.577
Control,24.552
DSS,22.368
DSS,67.948
DSS,36.151
DSS,19.393
DSS,1.83
DSS,24.186
DSS,1.425
DSS,0.458
DSS,1.939
P.goldsteinii,0.326
P.goldsteinii,90.121
P.goldsteinii,1.573
P.goldsteinii,52.47
P.goldsteinii,4.135
P.goldsteinii,28.65
P.goldsteinii,1.354
P.goldsteinii,0.512
P.goldsteinii,6.806
