Group,Concentration
Control,22.398 
Control,27.355 
Control,38.902 
Control,39.156 
Control,44.635 
Control,52.565 
Control,57.472 
Control,55.924 
DSS,10.448 
DSS,18.065 
DSS,27.667 
DSS,14.739 
DSS,4.967 
DSS,12.502 
DSS,10.624 
DSS,13.508 
DSS,18.299 
P.goldsteinii,11.365 
P.goldsteinii,9.089 
P.goldsteinii,13.991 
P.goldsteinii,16.690 
P.goldsteinii,3.409 
P.goldsteinii,5.383 
P.goldsteinii,5.520 
P.goldsteinii,2.913 
P.goldsteinii,3.258 
