Group,Concentration
Control,18.232
Control,15.487
Control,29.409
Control,14.945
Control,14.016
Control,48.518
Control,42.726
Control,20.831
DSS,28.512
DSS,74.577
DSS,85.316
DSS,64.402
DSS,24.003
DSS,58.589
DSS,58.484
DSS,28.7382
DSS,41.244
P.goldsteinii,30.161
P.goldsteinii,29.712
P.goldsteinii,59.737
P.goldsteinii,68.66
P.goldsteinii,45.491
P.goldsteinii,57.347
P.goldsteinii,53.339
P.goldsteinii,140.93
P.goldsteinii,79.409
