name	FD_D1	FD_D2	FD_D3	FD_D4	FD_D5	FD_D6	FD_D7	FD_D8	FD_PG2	FD_PG3	FD_PG5	FD_PG6	FD_PG7	FD_PG8
M376T220_pos	0.365119308	0.957750622	0.413595034	0.402465402	0.61355338	0.736467148	0.540588882	0.710414642	0.397513581	0.396500926	0.596478172	0.425345727	0.538588828	0.46511395
M361T290_pos	0.478431536	0.588441357	0.467505794	0.455054651	0.767029827	0.985682797	0.786030598	0.940111711	0.449147732	0.4624151	0.773344042	0.606809521	0.557255992	0.598639606
M708T746_pos	0.079834896	0.12257467	0.100002793	0.081902212	0.043297575	0.018784699	0.023264084	0.037174541	0.015614748	0.069013983	0.060563587	0.048984668	0.053767512	0.068107784
M385T129_pos	0.020801892	0.025341233	0.134140596	0.064384208	0.152632129	0.205662379	0.131934488	0.197022365	0.100497975	0.095926257	0.165472706	0.112957655	0.150597533	0.108325821
M821T748_pos	0.509036786	1.420979221	0.662836669	0.539917741	0.482528648	0.469712194	0.490364192	0.459424169	0.46291328	0.423235344	0.460841615	0.406226215	0.470112001	0.502518848
M221T81_pos	0.39996103	0.514956045	0.385115547	0.189945759	0.217488595	0.359380509	0.188514293	0.307710927	0.354177268	0.328298431	0.377605377	0.390909848	0.422492782	0.423724584
M268T432_pos	0.107316107	0.395993837	0.1871269	0.100407978	0.107596719	0.109742577	0.107685201	0.110394711	0.107572893	0.095881512	0.104374138	0.087030685	0.099166413	0.10338726
M200T49_pos	0.214873504	0.278650867	0.170186494	0.17771198	0.207351627	0.159990219	0.136829598	0.150208971	0.252098857	0.291065783	0.308950702	0.235548288	0.254783856	0.447110695
M476T756_pos	0.193606906	0.50451547	0.226700382	0.197120106	0.152915321	0.171566699	0.156407208	0.150454737	0.156577486	0.135516444	0.149086979	0.127560178	0.135459627	0.17099085
M997T278_pos	0.133112011	0.00535252	0.052020399	0.143636094	0.134851195	0.118206163	0.176060995	0.100370076	0.100366863	0.146785638	0.081567802	0.168008984	0.180124897	0.161658287
M352T249_pos	0.276605012	0.242421441	0.282936855	0.622326884	0.079464803	0.065745848	0.045716627	0.068084006	0.124162809	0.138295859	0.251404301	0.233103264	0.127203282	0.253841676
M106T48_pos	1.197134565	2.981383845	1.255728427	0.969602228	0.694664352	0.770139082	1.181670536	0.674499225	0.6962151	0.779299136	0.403363032	0.558058897	0.40371794	1.386027276
M960T404_pos	0.202802591	0.52232639	0.266331909	0.243064948	0.472545919	0.334830708	0.352091202	0.851357543	0.094230194	0.232956809	0.36286592	0.548507894	0.479545051	0.644337858
M743T384_pos	0.033537028	0.039981515	0.024485051	0.032762747	0.019997157	0.046718231	0.024640482	0.058040603	0.030533955	0.048695207	0.033040491	0.036600246	0.030017193	0.036860737
M422T83_pos	0.301265815	0.433903768	0.228360378	0.248875473	0.223204091	0.287052881	0.143019237	0.242554411	0.3161872	0.355957187	0.280707591	0.353253161	0.352112902	0.2765679
