name	FD_C1	FD_C2	FD_C3	FD_C4	FD_C5	FD_C7	FD_C8	FD_D1	FD_D2	FD_D3	FD_D4	FD_D5	FD_D6	FD_D7	FD_D8	FD_PG2	FD_PG3	FD_PG5	FD_PG6	FD_PG7	FD_PG8
M546T658_pos	9.935066296	4.588494741	3.951332725	3.768332008	3.441119297	3.503315553	3.201284828	3.696307036	11.42661128	5.583820338	3.276589514	2.972763097	2.839850182	2.310469223	3.205265244	2.994028881	3.035907201	2.955037533	2.348775628	2.995607824	2.887511728
M776T735_pos	1.556875078	0.784710236	0.854934228	0.70796082	0.798100155	0.736438227	0.796695921	0.425117956	1.337314653	0.914929609	0.682516821	0.509353392	0.599809338	0.426226954	0.452531048	0.378765291	0.38074997	0.557804325	0.366092565	0.363988651	0.481547865
M391T145_pos	0.14537823	0.173439184	0.175006849	0.165296029	0.167279302	0.189008535	0.193634492	0.399164129	0.342007702	0.504051307	0.400895889	0.385117144	0.586099334	0.394081423	0.499004922	0.633520094	0.587882857	0.768039564	0.41896105	0.758386401	0.42084481
M594T776_pos	2.053563116	0.980479495	0.966474588	0.979259616	0.952895497	0.931364058	0.953900913	0.843880793	2.577266132	1.273164186	0.851407983	0.83213763	0.852860853	0.895620867	0.854779976	0.78674335	0.794144127	0.780301517	0.681903368	0.796640599	0.829384341
M223T664_pos	10.56283226	5.193545162	5.103549325	4.974370575	4.858568953	4.941657291	4.782786671	4.454085682	13.47763197	6.606474133	4.548835783	4.429306853	4.390787473	4.490239998	4.379793895	4.361419003	4.362110695	4.190623654	3.541703911	4.145090904	4.217112617
M695T228_pos	0.039479078	0.035510803	0.044676912	0.040733927	0.038076808	0.032502019	0.04529711	0.123499409	0.154957365	0.127164707	0.113500818	0.126450284	0.19331928	0.143661011	0.212934931	0.090974191	0.099853893	0.114170546	0.186101849	0.188981416	0.117505516
M341T660_pos	0.563799431	0.265933049	0.276627553	0.243345724	0.245833599	0.264318234	0.25147567	0.255966199	0.77704694	0.360795291	0.245108804	0.220303156	0.241164869	0.233511082	0.231500801	0.250325552	0.246602735	0.221343892	0.188621524	0.230048202	0.241135776
M929T438_1_pos	0.028433422	0.019337658	0.015356138	0.0184728	0.029060661	0.029196783	0.026472258	0.083278346	0.217847911	0.058070922	0.082693917	0.136052904	0.130550406	0.13072569	0.140148183	0.038596233	0.065984606	0.086529306	0.078855747	0.109479832	0.084095476
M492T672_pos	0.359591142	0.188425343	0.182532302	0.164270708	0.182319855	0.194681281	0.179703388	0.180354586	0.463409264	0.240749287	0.167679523	0.148081757	0.160435864	0.151545942	0.157233075	0.161891745	0.166003315	0.154715932	0.133558469	0.149544774	0.153452975
M945T438_1_pos	0.036849152	0.012305972	0.018360126	0.021657759	0.005174381	0	0	0.089415718	0.154506843	0.031423792	0.085527977	0.137049084	0.124003084	0.131898452	0.144472046	0.026902268	0.081022136	0.07729273	0.070225675	0.091990549	0.067299134
M376T292_pos	0.223477067	0.15799753	0.167570055	0.10428631	0.168116836	0.19345648	0.20113709	0.666779413	0.614135835	0.416197079	0.475736577	0.782525572	0.694178518	0.563019359	0.634575476	0.484634059	0.511744742	0.758967461	0.55180273	0.642876239	0.446550347
M639T775_pos	1.228972618	0.596141411	0.556213515	0.559331803	0.556462065	0.595028367	0.548673668	0.537718679	1.54285923	0.778198254	0.520670763	0.508620362	0.50767889	0.534378734	0.392865082	0.484941486	0.485718594	0.491113872	0.415639424	0.486837605	0.479065998
M608T147_pos	0.001766587	0.012272581	0.013295207	0.003721239	0.025116421	0.013436505	0.013810795	0.068161966	0.033086577	0.084001123	0.0851432	0.076087533	0.111852122	0.061090541	0.120179141	0.092276407	0.107832745	0.11702313	0.090853819	0.118312274	0.050561509
M317T134_pos	0.159441056	0.149011789	0.183404941	0.136570367	0.127314585	0.148524298	0.131080906	0.255977994	0.264038066	0.326810982	0.35516896	0.279619813	0.341372714	0.231681124	0.332029884	0.405985016	0.415599486	0.446264806	0.308428602	0.49588227	0.350686588
M413T131_pos	0.006968037	0.007061005	0.00512174	0.004331085	0.021279985	0.006293806	0.011231767	0.092561698	0.151794461	0.026459765	0.006770469	0.588818696	1.450089336	0.728234336	1.661058057	1.347306565	0.909460081	0.650364378	0.405651811	1.159643757	0.224772682
M564T302_pos	0.009766049	0.031770945	0.028617181	0.017889411	0.009310756	0.004695808	0.016074809	0.033286066	0.013462981	0.021841839	0.021086992	0.054139521	0.039086843	0.050952016	0.03979148	0.0560269	0.079022715	0.027819902	0.059668185	0.030326923	0.049787276
M209T49_pos	0.024635525	0.020162471	0.029794706	0.016313738	0.051132538	0.055681421	0.037118647	0.213851111	0.295469481	0.175141009	0.196301099	0.230210975	0.152292798	0.17591913	0.173071018	0.244937153	0.295081029	0.314515997	0.22432972	0.257103549	0.433416071
M944T52_pos	0.035735447	0.072288246	0.044592877	0.070817737	0.125011126	0.040786076	0.067421419	0.074181421	0.167716151	0.196715823	0.153910469	0.101938968	0.165762956	0.157132179	0.149097151	0.202952881	0.180393771	0.277473978	0.114207707	0.198292415	0.098480594
M471T230_pos	0.302747213	0.204541587	0.203717622	0.305588272	0.210548156	0.227116634	0.196080024	0.329078979	0.285473892	0.239677197	0.30650859	0.363375722	0.298506445	0.398952353	0.341005251	0.330881418	0.286367451	0.381993802	0.399697666	0.314906653	0.482953698
M302T87_pos	0.264181819	0.190032611	0.17236718	0.090439455	0.202059548	0.204688171	0.19888436	0.265850129	0.459039141	0.249437478	0.317201052	0.243802272	0.331627094	0.22132542	0.359559732	0.484071922	0.327988604	0.427081261	0.308617836	0.396028449	0.416917881
M456T130_pos	0.003463519	0.018671712	0.019056168	0.00931907	0.016908758	0.013570036	0.015593064	0.405198235	0.310643091	0.236787649	0.268426973	0.386413661	0.317551427	0.250186693	0.221291033	0.583255748	0.618425574	0.626254282	0.705725583	0.465151322	0.516466065
M462T778_pos	2.982773296	1.400860105	1.308843987	1.484243766	1.44697558	1.438484976	1.452195704	1.286009097	3.640463094	1.824895578	1.166218831	1.188086216	1.292068592	1.22829368	1.262543837	1.132311745	1.132025378	1.110878704	1.03832775	1.125418587	1.249522245
M228T445_pos	0.138912772	0.062010033	0.064007463	0.064750749	0.054164036	0.057591039	0.050383115	0.048907626	0.15755888	0.074012172	0.048098583	0.048804067	0.047615892	0.054558979	0.0470847	0.04118892	0.040627178	0.041261003	0.037158555	0.035862901	0.037120784
M466T46_pos	0.179919284	0.164576111	0.164006137	0.080136583	0.124244973	0.119045534	0.118429436	1.569504548	2.559310616	1.386552906	1.035538679	1.32314539	1.098157234	0.943835026	1.075893518	1.825133525	2.13730512	2.029160831	1.664942924	1.882069828	2.690955472
M84T49_pos	1.61779455	1.482578761	1.408053612	1.50043568	1.402910102	1.371354683	1.376834748	1.871444697	3.767713658	3.403708525	2.071147542	2.478731169	2.450493872	3.182459388	3.152805723	3.209080515	2.271260852	4.479089878	1.71891254	3.947495677	2.918265721
M335T223_pos	0.090989773	0.062344061	0.084103691	0.05963771	0.128646438	0.125542537	0.137972778	0.14105591	0.194594162	0.132923902	0.166624645	0.235098497	0.326760332	0.197000347	0.316387374	0.165091438	0.12427988	0.234460129	0.167047176	0.218441837	0.181415991
M811T225_1_pos	0.052319571	0.042309242	0.048508787	0.042745931	0.043059167	0.030141563	0.046941239	0.134305635	0.105799646	0.09692866	0.048817103	0.225477055	0.112026788	0.131720804	0.118194557	0.097083577	0.185575545	0.106307414	0.097988982	0.113705696	0.111121346
M250T417_pos	1.20293776	0.581395935	0.615691864	0.644659868	0.597570525	0.637647439	0.656915368	0.516769788	1.593073106	0.850133724	0.522579147	0.51746294	0.490045477	0.537397695	0.533982477	0.529562644	0.467928277	0.529066943	0.389427006	0.550051948	0.520213848
M130T49_pos	11.22363276	9.15193215	8.131324958	9.1723501	8.368280251	8.285909447	8.250961997	11.80396569	19.93960854	19.16756034	12.15552685	11.72055654	13.70816922	16.91374919	17.0855468	14.96270141	12.03976938	19.69680965	9.618826252	17.87866368	15.66468609
M413T54_pos	0.138567813	0.129994371	0.137025149	0.089190472	0.149655232	0.12954737	0.161426948	0.150101649	0.215412791	0.133316472	0.152363998	0.168673537	0.209467483	0.163323286	0.212772961	0.15341438	0.169016435	0.209581907	0.15020123	0.219549697	0.178514576
M481T521_pos	0.132835073	0.032831688	0.087849074	0.099515377	0.024407224	0.025960339	0.012087394	0.39650314	0.213236643	0.503936183	0.348623957	0.483696286	0.371358477	0.70901653	0.347259181	0.187605264	0.379745839	0.32470358	0.736777709	0.43459553	0.722952282
M102T49_pos	2.761664253	2.472352851	2.286879272	2.75493754	2.379234246	2.515973679	2.454146446	2.93684432	5.900568497	4.977385869	3.159176216	3.77741698	3.529080745	4.813156977	4.462945027	4.434074762	3.592359121	6.423598008	2.470747289	5.656656622	4.395915806
M473T245_pos	0.51064328	0.326383942	0.329691053	0.316332322	0.32845131	0.268830497	0.337574767	0.33427799	0.389416526	0.308162088	0.298338857	0.478308176	0.459993694	0.334902366	0.46618071	0.416395311	0.337078098	0.482683357	0.407576789	0.529765456	0.324716619
M488T45_pos	0.031547473	0.047693481	0.10646788	0.029932419	0.032374553	0.113557578	0.028578583	0.134211245	0.38044403	0.164192739	0.130509093	0.181958152	0.148052388	0.131982773	0.117615328	0.120729642	0.165345284	0.200818653	0.180717267	0.21952976	0.192888526
M434T50_pos	0.466530945	2.661989008	2.98681115	2.192859819	2.822127066	3.19916105	3.001199068	10.10441608	9.475720322	6.482524699	8.147532685	9.194262472	6.406553464	7.138596625	6.055631922	9.997786755	11.91409031	11.08041542	11.36786654	8.288157679	15.89602628
M376T220_pos	0.62658375	0.28328457	0.26338866	0.296638261	0.379144361	0.44063399	0.425483429	0.365119308	0.957750622	0.413595034	0.402465402	0.61355338	0.736467148	0.540588882	0.710414642	0.397513581	0.396500926	0.596478172	0.425345727	0.538588828	0.46511395
M361T290_pos	0.455662464	0.425757066	0.411588727	0.319558019	0.435154162	0.566524595	0.522255158	0.478431536	0.588441357	0.467505794	0.455054651	0.767029827	0.985682797	0.786030598	0.940111711	0.449147732	0.4624151	0.773344042	0.606809521	0.557255992	0.598639606
M708T746_pos	0.211493666	0.100662795	0.089290083	0.072275296	0.067894735	0.161062972	0.069247777	0.079834896	0.12257467	0.100002793	0.081902212	0.043297575	0.018784699	0.023264084	0.037174541	0.015614748	0.069013983	0.060563587	0.048984668	0.053767512	0.068107784
M385T129_pos	0.144146937	0.078318338	0.082184985	0.077622929	0.089705727	0.121713453	0.081250007	0.020801892	0.025341233	0.134140596	0.064384208	0.152632129	0.205662379	0.131934488	0.197022365	0.100497975	0.095926257	0.165472706	0.112957655	0.150597533	0.108325821
M821T748_pos	1.140469188	0.562864494	0.539460017	0.51302805	0.544741954	0.600334386	0.57121112	0.509036786	1.420979221	0.662836669	0.539917741	0.482528648	0.469712194	0.490364192	0.459424169	0.46291328	0.423235344	0.460841615	0.406226215	0.470112001	0.502518848
M221T81_pos	0.11285963	0.094519568	0.107492766	0.093498599	0.105962769	0.121956308	0.135603106	0.39996103	0.514956045	0.385115547	0.189945759	0.217488595	0.359380509	0.188514293	0.307710927	0.354177268	0.328298431	0.377605377	0.390909848	0.422492782	0.423724584
M268T432_pos	0.266766569	0.129358477	0.12410725	0.109141891	0.111248936	0.124000821	0.132642894	0.107316107	0.395993837	0.1871269	0.100407978	0.107596719	0.109742577	0.107685201	0.110394711	0.107572893	0.095881512	0.104374138	0.087030685	0.099166413	0.10338726
