Group,Concentration
Control,13.387
Control,17.083
Control,20.17
Control,11.196
Control,11.638
Control,36.367
Control,22.765
Control,22.117
DSS,0.843
DSS,0.288
DSS,0.186
DSS,0.441
DSS,0.117
DSS,0.179
DSS,0.195
P.goldsteinii,1.23
P.goldsteinii,0.307
P.goldsteinii,0.173
P.goldsteinii,1.573
P.goldsteinii,2.149
P.goldsteinii,14.839
P.goldsteinii,11.908
P.goldsteinii,0.414
P.goldsteinii,12.482
