Group,Concentration
Control,0.186
Control,0.264
Control,0.123
Control,0.202
Control,0.626
Control,0.453
Control,0.36
Control,0.657
DSS,1.734
DSS,1.634
DSS,1.874
DSS,1.146
DSS,2.026
DSS,1.6
DSS,2.68
P.goldsteinii,1.902
P.goldsteinii,0.161
P.goldsteinii,0.193
P.goldsteinii,0.189
P.goldsteinii,0.378
P.goldsteinii,1.04
P.goldsteinii,0.152
P.goldsteinii,1.212
P.goldsteinii,0.204
