Group,Concentration
Control,58.069 
Control,85.270 
Control,93.948 
Control,53.998 
Control,68.427 
Control,155.869 
Control,110.129 
Control,103.439 
DSS,160.833 
DSS,166.349 
DSS,81.884 
DSS,181.149 
DSS,87.803 
DSS,150.062 
DSS,128.451 
P.goldsteinii,188.784 
P.goldsteinii,76.543 
P.goldsteinii,87.520 
P.goldsteinii,13.261 
P.goldsteinii,262.078 
P.goldsteinii,218.407 
P.goldsteinii,101.411 
P.goldsteinii,193.247 
P.goldsteinii,79.507 
