Group,Concentration
Control,33.161 
Control,28.600 
Control,28.877 
Control,10.591 
Control,29.641 
Control,39.355 
Control,47.455 
Control,47.452 
DSS,18.665 
DSS,25.191 
DSS,6.375 
DSS,13.388 
DSS,5.745 
DSS,7.907 
DSS,8.266 
P.goldsteinii,22.252 
P.goldsteinii,13.677 
P.goldsteinii,7.469 
P.goldsteinii,2.660 
P.goldsteinii,25.704 
P.goldsteinii,28.369 
P.goldsteinii,22.025 
P.goldsteinii,12.456 
P.goldsteinii,19.671 
