Group,Concentration
Control,1.601 
Control,0.564 
Control,1.027 
Control,0.109 
Control,12.036 
Control,1.361 
Control,0.679 
Control,2.066 
DSS,3.032 
DSS,13.288 
DSS,19.158 
DSS,17.920 
DSS,6.793 
DSS,12.784 
DSS,60.953 
P.goldsteinii,4.564 
P.goldsteinii,0.504 
P.goldsteinii,0.570 
P.goldsteinii,6.464 
P.goldsteinii,2.096 
P.goldsteinii,3.754 
P.goldsteinii,0.766 
P.goldsteinii,3.742 
P.goldsteinii,0.601 
