Group,Concentration
Control,8.018 
Control,9.605 
Control,11.114 
Control,11.728 
Control,26.071 
Control,39.350 
Control,28.176 
Control,28.864 
DSS,14.837 
DSS,12.383 
DSS,10.287 
DSS,29.172 
DSS,20.707 
DSS,30.541 
DSS,22.637 
P.goldsteinii,53.316 
P.goldsteinii,15.396 
P.goldsteinii,19.416 
P.goldsteinii,25.633 
P.goldsteinii,59.958 
P.goldsteinii,31.183 
P.goldsteinii,43.619 
P.goldsteinii,51.407 
P.goldsteinii,40.715 
