Group,Concentration
Control,2.982 
Control,2.410 
Control,1.059 
Control,2.612 
Control,2.715 
Control,2.942 
Control,5.627 
Control,5.422 
DSS,18.878 
DSS,52.221 
DSS,137.899 
DSS,321.477 
DSS,151.427 
DSS,121.696 
DSS,664.827 
P.goldsteinii,50.363 
P.goldsteinii,7.443 
P.goldsteinii,9.951 
P.goldsteinii,129.470 
P.goldsteinii,127.081 
P.goldsteinii,49.240 
P.goldsteinii,25.304 
P.goldsteinii,59.835 
P.goldsteinii,16.122 
