Group,Concentration
Control,5.173 
Control,5.156 
Control,3.927 
Control,2.460 
Control,39.145 
Control,23.821 
Control,8.231 
Control,8.022 
DSS,18.863 
DSS,97.853 
DSS,233.315 
DSS,508.805 
DSS,260.913 
DSS,231.108 
DSS,898.899 
P.goldsteinii,106.060 
P.goldsteinii,24.144 
P.goldsteinii,95.122 
P.goldsteinii,201.019 
P.goldsteinii,198.094 
P.goldsteinii,79.635 
P.goldsteinii,78.051 
P.goldsteinii,99.997 
P.goldsteinii,69.407 
